geneID	x	y	MIDCounts
0610040B10Rik	260	538	1
0610040B10Rik	784	474	4
0610040B10Rik	307	985	3
0610040B10Rik	730	567	2
0610040B10Rik	1073	1168	1
0610040B10Rik	98	911	3
0610040B10Rik	192	1160	3
0610040F04Rik	705	915	1
0610040F04Rik	487	868	2
0610040F04Rik	1168	773	1
0610040J01Rik	291	808	1
0610040J01Rik	1042	721	3
0610040J01Rik	899	938	1
0610040J01Rik	262	775	4
0610040J01Rik	302	349	1
0610040J01Rik	996	285	1
0610040J01Rik	1032	10	2
0610040J01Rik	718	955	1
0610040J01Rik	622	217	2
0610043K17Rik	455	1106	4
0610043K17Rik	25	45	2
0610043K17Rik	254	786	1
0610043K17Rik	349	1158	2
1010001B22Rik	766	1057	1
1010001B22Rik	1057	414	1
1110002E22Rik	660	1000	1
1110002E22Rik	396	1138	1
1110002E22Rik	761	617	1
1110002E22Rik	172	463	3
1110002J07Rik	234	959	1
1110002L01Rik	1036	14	2
1110002L01Rik	950	166	1
1110002L01Rik	1037	14	2
1110002L01Rik	118	376	1
1110002L01Rik	709	624	1
1110002L01Rik	871	271	1
1110002L01Rik	279	246	1
1110004E09Rik	55	556	3
1110004E09Rik	598	924	2
1110004E09Rik	543	1013	4
1110004E09Rik	381	1084	1
1110004E09Rik	789	530	2
1110004E09Rik	728	519	1
1110004E09Rik	766	539	4
1110004E09Rik	455	1139	4
1110004E09Rik	90	1054	1
1110004E09Rik	990	700	3
1110004E09Rik	652	788	3
1110004E09Rik	1122	314	2
1110004E09Rik	168	31	3
1110004E09Rik	356	760	2
1110004E09Rik	935	50	1
1110004E09Rik	366	201	1
1110004E09Rik	637	527	1
1110004E09Rik	899	789	4
1110004E09Rik	868	130	3
1110004E09Rik	14	558	2
1110004E09Rik	231	1127	1
1110004E09Rik	858	229	1
1110004E09Rik	791	25	1
1110004E09Rik	241	735	2
1110004E09Rik	880	582	2
1110004E09Rik	835	108	1
1110004E09Rik	784	33	2
1110004E09Rik	475	860	2
1110004E09Rik	648	603	1
1110004E09Rik	312	77	3
1110004E09Rik	76	984	2
1110004E09Rik	814	293	3
1110004E09Rik	342	365	2
1110004E09Rik	201	702	3
1110004E09Rik	329	276	3
1110004E09Rik	466	1115	4
1110004E09Rik	1163	1120	4
1110004E09Rik	524	746	1
1110004E09Rik	682	528	4
1110004E09Rik	653	222	3
1110004E09Rik	981	92	2
1110004E09Rik	604	1161	2
1110004E09Rik	271	150	2
1110004E09Rik	501	982	1
1110004E09Rik	396	1122	1
1110004E09Rik	869	355	1
1110004E09Rik	612	637	1
1110004E09Rik	887	204	2
1110004E09Rik	803	1152	3
1110004E09Rik	679	822	1
1110004E09Rik	573	1138	1
1110004E09Rik	1096	133	2
1110004E09Rik	108	1027	1
1110004E09Rik	782	1027	2
1110004E09Rik	53	338	4
1110004E09Rik	931	1148	4
1110004E09Rik	950	501	2
1110004E09Rik	625	956	1
1110004F10Rik	1144	206	3
1110004F10Rik	171	534	1
1110004F10Rik	495	1182	1
1110004F10Rik	466	1117	4
1110004F10Rik	606	823	1
1110004F10Rik	207	1174	1
1110004F10Rik	791	574	1
1110004F10Rik	286	793	1
1110004F10Rik	967	623	1
1110004F10Rik	699	564	2
1110004F10Rik	311	36	3
1110004F10Rik	515	1048	1
1110004F10Rik	971	32	2
1110004F10Rik	421	171	4
1110004F10Rik	449	825	2
1110004F10Rik	741	736	2
1110004F10Rik	1093	944	1
1110004F10Rik	859	193	2
1110004F10Rik	276	1068	4
1110004F10Rik	219	1195	2
1110004F10Rik	485	1071	1
1110004F10Rik	183	962	2
1110004F10Rik	277	593	1
1110004F10Rik	260	1063	1
1110004F10Rik	773	1197	1
1110004F10Rik	369	414	1
1110004F10Rik	565	516	1
1110004F10Rik	831	289	2
1110004F10Rik	258	470	1
1110004F10Rik	279	649	1
1110004F10Rik	1002	1154	1
1110004F10Rik	980	1	2
1110004F10Rik	800	205	2
1110004F10Rik	833	587	1
1110004F10Rik	519	1120	2
1110004F10Rik	332	147	2
1110004F10Rik	640	126	3
1110004F10Rik	722	678	2
1110004F10Rik	333	389	2
1110004F10Rik	226	1002	3
1110004F10Rik	1092	1185	4
1110004F10Rik	480	1147	1
1110004F10Rik	168	868	2
1110004F10Rik	863	761	1
1110004F10Rik	905	362	1
1110004F10Rik	799	607	1
1110004F10Rik	175	852	2
1110004F10Rik	210	900	1
1110004F10Rik	333	43	2
1110004F10Rik	929	1133	4
1110004F10Rik	1074	507	1
1110004F10Rik	1118	871	1
1110004F10Rik	843	386	4
1110004F10Rik	322	645	1
1110004F10Rik	704	183	1
1110004F10Rik	715	836	1
1110004F10Rik	323	122	1
1110004F10Rik	545	312	1
1110004F10Rik	247	807	1
1110004F10Rik	480	1186	1
1110004F10Rik	480	831	1
1110004F10Rik	688	1070	1
1110004F10Rik	543	816	1
1110004F10Rik	837	799	1
1110004F10Rik	65	790	1
1110004F10Rik	745	9	2
1110004F10Rik	282	510	1
1110004F10Rik	734	821	2
1110004F10Rik	927	103	1
1110004F10Rik	780	373	3
1110004F10Rik	758	907	1
1110004F10Rik	861	89	1
1110004F10Rik	737	907	2
1110004F10Rik	431	916	2
1110004F10Rik	271	1147	1
1110004F10Rik	659	284	1
1110004F10Rik	801	470	1
1110004F10Rik	433	805	1
1110004F10Rik	521	325	2
1110004F10Rik	512	806	1
1110004F10Rik	628	1029	1
1110004F10Rik	51	735	1
1110004F10Rik	567	219	3
1110004F10Rik	569	1099	1
1110004F10Rik	778	380	1
1110004F10Rik	33	521	1
1110004F10Rik	409	1048	1
1110004F10Rik	149	393	2
1110004F10Rik	280	223	2
1110004F10Rik	242	1107	1
1110004F10Rik	155	1090	4
1110004F10Rik	60	3	1
1110004F10Rik	309	647	2
1110004F10Rik	669	104	1
1110004F10Rik	805	17	2
1110004F10Rik	459	839	2
1110004F10Rik	272	226	1
1110004F10Rik	806	23	2
1110004F10Rik	392	688	1
1110004F10Rik	1073	390	1
1110004F10Rik	874	1113	3
1110004F10Rik	750	652	3
1110004F10Rik	681	818	4
1110004F10Rik	89	548	1
1110004F10Rik	444	829	2
1110004F10Rik	496	779	2
1110004F10Rik	360	1127	2
1110004F10Rik	389	68	1
1110004F10Rik	746	503	3
1110004F10Rik	545	928	1
1110004F10Rik	599	839	2
1110004F10Rik	272	296	4
1110004F10Rik	353	124	4
1110004F10Rik	1046	492	1
1110004F10Rik	746	454	1
1110004F10Rik	699	1142	4
1110004F10Rik	825	513	2
1110004F10Rik	1098	363	1
1110004F10Rik	95	928	1
1110004F10Rik	367	790	4
1110004F10Rik	466	1106	1
1110004F10Rik	324	26	2
1110004F10Rik	620	843	4
1110004F10Rik	424	1160	2
1110004F10Rik	384	951	2
1110004F10Rik	890	122	1
1110004F10Rik	733	907	2
1110004F10Rik	268	407	4
1110004F10Rik	220	399	4
1110004F10Rik	926	63	1
1110004F10Rik	966	33	2
