geneID	x	y	MIDCounts
0610009B22Rik	9548	7804	1
0610009B22Rik	6912	17027	1
0610009B22Rik	6687	10691	1
0610009B22Rik	12617	11923	2
0610009B22Rik	8398	6488	1
0610009B22Rik	9026	13520	2
0610009B22Rik	8658	16485	1
0610009B22Rik	11041	15703	1
0610009B22Rik	12263	14005	1
0610009B22Rik	12872	13089	2
0610009B22Rik	10688	9801	1
0610009B22Rik	6191	17037	1
0610009B22Rik	8002	7158	2
0610009B22Rik	6662	10646	3
0610009B22Rik	4615	13035	1
0610009B22Rik	6446	15469	1
0610009B22Rik	11544	13934	2
0610009B22Rik	12195	12683	1
0610009B22Rik	9625	12120	1
0610009B22Rik	10635	9237	1
0610009B22Rik	6698	13411	3
0610009B22Rik	13001	11604	1
0610009B22Rik	7585	6660	3
0610009B22Rik	8798	10487	4
0610009B22Rik	8912	10470	1
0610009B22Rik	6840	10053	2
0610009B22Rik	8358	14774	1
0610009B22Rik	9992	7560	2
0610009B22Rik	6580	18830	4
0610009B22Rik	10495	11859	1
0610009B22Rik	5378	14689	1
0610009B22Rik	12856	11238	1
0610009B22Rik	9198	11252	3
0610009B22Rik	9863	11654	1
0610009B22Rik	7738	10352	1
0610009B22Rik	9721	14905	2
0610009B22Rik	11820	10859	2
0610009B22Rik	6966	10996	3
0610009B22Rik	11659	14661	2
0610009B22Rik	7316	18156	1
0610009B22Rik	10917	14492	2
0610009B22Rik	3913	11059	1
0610009B22Rik	10204	16845	2
0610009B22Rik	11527	8448	2
0610009B22Rik	11156	10859	2
0610009B22Rik	5487	14822	3
0610009B22Rik	9750	16039	2
0610009B22Rik	7513	19173	4
0610009B22Rik	9709	17621	1
0610009B22Rik	12961	12467	1
0610009B22Rik	11729	14556	3
0610009B22Rik	10027	11135	1
0610009B22Rik	11189	8220	1
0610009B22Rik	8535	10526	3
0610009B22Rik	11403	13217	1
0610009B22Rik	5013	13116	3
0610009B22Rik	9555	10439	1
0610009B22Rik	9019	14914	2
0610009B22Rik	5783	13730	1
0610009B22Rik	5774	12764	1
0610009B22Rik	8842	14667	2
0610009B22Rik	9986	15362	1
0610009B22Rik	7434	9539	2
0610009B22Rik	12427	13804	1
0610009B22Rik	9249	9560	1
0610009B22Rik	4143	11377	1
0610009B22Rik	10042	11183	1
0610009B22Rik	8092	17855	1
0610009B22Rik	10541	15463	3
0610009B22Rik	9297	15549	3
0610009B22Rik	7506	10172	1
0610009B22Rik	12768	12618	1
0610009B22Rik	12732	11497	1
0610009B22Rik	7143	17745	2
0610009B22Rik	12737	14034	1
0610009B22Rik	12214	13074	3
0610009B22Rik	10864	15684	1
0610009B22Rik	6738	15820	1
0610009B22Rik	9875	11620	1
0610009B22Rik	10103	16551	2
0610009B22Rik	7860	10431	4
0610009B22Rik	10326	8424	1
0610009B22Rik	8111	7700	1
0610009B22Rik	9085	10063	3
0610009B22Rik	11293	8826	4
0610009B22Rik	7247	18653	1
0610009B22Rik	11190	10843	1
0610009B22Rik	6724	18438	1
0610009B22Rik	12029	10331	2
0610009B22Rik	7002	10291	1
0610009B22Rik	8568	18137	3
0610009B22Rik	13409	10882	1
0610009B22Rik	7259	11447	1
0610009B22Rik	4888	11136	3
0610009B22Rik	7101	15832	3
0610009B22Rik	12470	11704	2
0610009B22Rik	10617	14726	1
0610009B22Rik	7765	19767	1
0610009B22Rik	11392	7581	1
0610009B22Rik	7336	12826	3
0610009B22Rik	11837	15272	3
0610009B22Rik	10545	11470	3
0610009B22Rik	5183	14311	1
0610009B22Rik	10834	14343	1
0610009B22Rik	6992	17267	3
0610009B22Rik	10383	13367	4
0610009B22Rik	9124	10570	4
0610009B22Rik	9252	16913	1
0610009B22Rik	8540	11392	1
0610009B22Rik	9370	12591	2
0610009B22Rik	12120	12330	2
0610009B22Rik	10754	9425	1
0610009B22Rik	9244	16304	2
0610009B22Rik	11037	10498	1
0610009B22Rik	9499	17335	4
0610009B22Rik	8088	11451	2
0610009B22Rik	11950	8796	1
0610009B22Rik	9452	15183	2
0610009B22Rik	7400	17750	2
0610009B22Rik	5218	14888	1
0610009B22Rik	6905	16921	1
0610009B22Rik	9579	7490	3
0610009B22Rik	8932	17399	4
0610009B22Rik	4251	10621	1
0610009B22Rik	11506	15520	2
0610009B22Rik	6262	15434	1
0610009B22Rik	7722	8450	3
0610009B22Rik	11002	13919	1
0610009B22Rik	8755	12629	1
0610009B22Rik	6193	8245	3
0610009B22Rik	8181	12255	2
0610009B22Rik	6581	17604	1
0610009B22Rik	5751	13996	2
0610009B22Rik	6751	9051	1
0610009B22Rik	6226	17271	1
0610009B22Rik	9850	9384	1
0610009B22Rik	9857	11630	1
0610009B22Rik	9741	16303	2
0610009B22Rik	8675	7341	3
0610009B22Rik	7479	7817	1
0610009B22Rik	8756	9951	1
0610009B22Rik	10826	15672	2
0610009B22Rik	7297	16645	2
0610009B22Rik	9910	8663	1
0610009B22Rik	6180	9632	1
0610009B22Rik	11133	14982	3
0610009B22Rik	8539	8045	1
0610009B22Rik	9233	8289	4
0610009B22Rik	6622	7013	1
0610009B22Rik	9557	13456	4
0610009B22Rik	11227	14242	3
0610009B22Rik	10458	15399	4
0610009B22Rik	9681	16851	1
0610009B22Rik	10411	16174	2
0610009B22Rik	8174	10815	1
0610009B22Rik	11696	8168	2
0610009B22Rik	6854	13395	1
0610009B22Rik	6910	11516	2
0610009B22Rik	9174	11329	2
0610009B22Rik	9998	13825	1
0610009B22Rik	7927	17969	2
0610009B22Rik	10162	13920	2
0610009B22Rik	11978	9459	2
0610009B22Rik	10145	12478	3
0610009B22Rik	10062	13227	2
0610009B22Rik	12754	13353	1
0610009B22Rik	11094	13905	2
0610009B22Rik	6652	14533	4
0610009B22Rik	10241	13615	2
0610009B22Rik	12092	11568	4
0610009B22Rik	7055	7550	2
0610009B22Rik	7238	7192	1
0610009B22Rik	8832	16177	1
0610009B22Rik	10494	7140	1
0610009B22Rik	10038	15519	1
0610009B22Rik	8442	10300	2
0610009B22Rik	10381	16358	1
0610009B22Rik	7173	14335	2
0610009B22Rik	11130	14171	1
0610009B22Rik	5189	13551	1
0610009B22Rik	8138	9649	1
0610009B22Rik	9212	12406	2
0610009B22Rik	9731	8453	2
0610009B22Rik	10568	6859	3
0610009B22Rik	5112	9863	2
0610009B22Rik	6126	14933	1
0610009B22Rik	9265	16920	2
0610009B22Rik	10372	9113	2
0610009B22Rik	9660	8018	1
0610009B22Rik	10893	14572	1
0610009B22Rik	10453	16601	2
0610009B22Rik	4191	10507	1
0610009B22Rik	6847	8022	1
0610009B22Rik	10613	9743	2
0610009B22Rik	9122	11883	4
0610009B22Rik	10122	8807	1
0610009B22Rik	11987	11565	1
0610009B22Rik	5581	11296	3
0610009B22Rik	8740	7101	1
0610009B22Rik	12930	12834	1
0610009B22Rik	8982	8446	3
0610009B22Rik	6285	16849	1
